Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-1.51724201e-08,2.29208832e-09
-172.2,0.0,0.0,-5.04193190e-09,-1.83535288e-07
-164.3,0.0,0.0,6.02026087e-08,-4.63963330e-08
-156.5,0.0,0.0,6.05125059e-08,2.47703616e-07
-148.7,0.0,0.0,2.77098085e-08,2.69177537e-07
-140.9,0.0,0.0,9.09256553e-09,5.41345533e-07
-133.0,0.0,0.0,6.80657888e-08,5.56481458e-07
-125.2,0.0,0.0,5.64017321e-08,7.98000953e-07
-117.4,0.0,0.0,6.91889162e-08,5.61159280e-07
-109.6,0.0,0.0,4.21731926e-08,3.81774308e-07
-101.7,0.0,0.0,2.98592239e-09,5.28339556e-07
-93.9,0.0,0.0,-2.11801479e-08,7.83879012e-07
-86.1,0.0,0.0,1.64268711e-08,8.71092727e-07
-78.3,0.0,0.0,3.19851809e-08,8.54702695e-07
-70.4,0.0,0.0,-7.79029261e-09,9.63448184e-07
-62.6,0.0,0.0,1.50644044e-08,9.83204205e-07
-54.8,0.0,0.0,-2.19990490e-08,7.00062005e-07
-47.0,0.0,0.0,3.93834152e-08,6.58818129e-07
-39.1,0.0,0.0,-6.97857683e-08,9.55668870e-07
-31.3,0.0,0.0,9.09408196e-09,1.09040634e-06
-23.5,0.0,0.0,-9.99123522e-09,1.12265799e-06
-15.7,0.0,0.0,-8.50939506e-08,1.10837541e-06
-7.8,0.0,0.0,-1.41027293e-07,1.00444749e-06
0.0,0.0,0.0,-2.12615542e-07,6.83353192e-07
7.8,0.0,0.0,-1.86959657e-07,6.10458145e-07
15.7,0.0,0.0,-2.32472980e-07,6.52559865e-07
23.5,0.0,0.0,-1.63743149e-07,5.58263757e-07
31.3,0.0,0.0,-1.88520551e-07,7.91915424e-07
39.1,0.0,0.0,-1.60456252e-07,6.86886097e-07
47.0,0.0,0.0,-2.11948585e-07,6.57123841e-07
54.8,0.0,0.0,-2.09171685e-07,2.21746942e-07
62.6,0.0,0.0,-1.98493511e-07,1.55007466e-07
70.4,0.0,0.0,-2.52951933e-07,1.14275496e-07
78.3,0.0,0.0,-2.75343691e-07,1.74424521e-07
86.1,0.0,0.0,-3.04493263e-07,2.53341213e-07
93.9,0.0,0.0,-3.14986054e-07,5.43851718e-08
101.7,0.0,0.0,-3.01748247e-07,-1.53547672e-07
109.6,0.0,0.0,-3.04573229e-07,-1.52186567e-07
117.4,0.0,0.0,-2.69697401e-07,-2.82365283e-07
125.2,0.0,0.0,-3.05951899e-07,-1.65102873e-07
133.0,0.0,0.0,-3.06452599e-07,-1.61330297e-07
140.9,0.0,0.0,-2.75167547e-07,-1.46577091e-07
148.7,0.0,0.0,-3.00812161e-07,-6.78259438e-08
156.5,0.0,0.0,-3.40645537e-07,-5.43109374e-08
164.3,0.0,0.0,-2.73216492e-07,-6.13633948e-08
172.2,0.0,0.0,-2.86866518e-07,1.36873462e-07
