Experiment
% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-156.0,0.0,0.0,(0.00021269267376620554+0.00031011978764312263j)
-148.0,0.0,0.0,(0.00021370656467208074+0.000309817270204857j)
-140.0,0.0,0.0,(0.00021205153099399215+0.00030416176063228026j)
-132.0,0.0,0.0,(0.00019909586138826623+0.00030892369375028493j)
-124.0,0.0,0.0,(0.00020660308706850678+0.00031297098982628255j)
-116.0,0.0,0.0,(0.00020711371824421316+0.00030494110914812677j)
-108.0,0.0,0.0,(0.00021884685583595077+0.00032174625225855734j)
-100.0,0.0,0.0,(0.00020781597952879776+0.00030884658661798026j)
-92.0,0.0,0.0,(0.00021279513433420232+0.0003077880302626619j)
-84.0,0.0,0.0,(0.0002091049202912569+0.00031743222620647893j)
-76.0,0.0,0.0,(0.00022354566672642314+0.0003392403438137278j)
-68.0,0.0,0.0,(0.00020106935871594669+0.0003052374609150737j)
-60.0,0.0,0.0,(0.0002259977732247261+0.00031151485571440335j)
-52.0,0.0,0.0,(0.00021642275280016766+0.00031380301087168244j)
-44.0,0.0,0.0,(0.000232265918222857+0.0003172938604283232j)
-36.0,0.0,0.0,(0.0002477260362988037+0.0003249869822185107j)
-28.0,0.0,0.0,(0.00020307016280040138+0.0003024878162937358j)
-20.0,0.0,0.0,(0.00021286127300253007+0.000323519908664371j)
-12.0,0.0,0.0,(0.000210059856454608+0.00030700368786690507j)
-4.0,0.0,0.0,(0.00022249643744125215+0.0003169624509181063j)
4.0,0.0,0.0,(0.00020622089890340485+0.0003028840453595336j)
12.0,0.0,0.0,(0.00022138779956153542+0.00031910349754299524j)
20.0,0.0,0.0,(0.00021020813369228552+0.0003102780761258297j)
28.0,0.0,0.0,(0.0002191949771351676+0.00032677447273531774j)
36.0,0.0,0.0,(0.00023318857121559883+0.00032159752831470597j)
44.0,0.0,0.0,(0.00020675813426486716+0.0003028522131187022j)
52.0,0.0,0.0,(0.00024951711510871584+0.0003136816371934618j)
60.0,0.0,0.0,(0.00021715351267061024+0.0003020671090874301j)
68.0,0.0,0.0,(0.00021487133453249206+0.0003051888234187109j)
76.0,0.0,0.0,(0.0002099858836205327+0.0003000630506908596j)
84.0,0.0,0.0,(0.00020659426259610325+0.0003025109391964852j)
92.0,0.0,0.0,(0.00020757522853708942+0.0003010583776875033j)
100.0,0.0,0.0,(0.00021930010819030396+0.00031426300215293637j)
108.0,0.0,0.0,(0.00023058617026011812+0.00030746611759036784j)
116.0,0.0,0.0,(0.0002064794100807599+0.0003004185253487949j)
124.0,0.0,0.0,(0.00021350971638938793+0.00030497642078289306j)
132.0,0.0,0.0,(0.0002226727913601178+0.00031656006290080335j)
140.0,0.0,0.0,(0.0002024307781623652+0.00030546995508363517j)
148.0,0.0,0.0,(0.00022536199083701886+0.0003128468071539201j)
156.0,0.0,0.0,(0.00019607699346329527+0.0003028952450632846j)
164.0,0.0,0.0,(0.00023200277972410327+0.00031896464142558965j)
172.0,0.0,0.0,(0.0002034752912560026+0.0003015712176670935j)
180.0,0.0,0.0,(0.00019983589277349257+0.0002941263811348538j)
